ts_ms,open,high,low,close,volume
1764460800000,90607.7021513735,90607.7021513735,90607.7021513735,90607.7021513735,0
1764547200000,86504.6368156049,86504.6368156049,86504.6368156049,86504.6368156049,0
1764633600000,91528.0245809468,91528.0245809468,91528.0245809468,91528.0245809468,0
1764720000000,93609.0938658679,93609.0938658679,93609.0938658679,93609.0938658679,0
1764806400000,92205.5929544126,92205.5929544126,92205.5929544126,92205.5929544126,0
1764892800000,89279.8344634717,89279.8344634717,89279.8344634717,89279.8344634717,0
1764979200000,89169.5570610754,89169.5570610754,89169.5570610754,89169.5570610754,0
1765065600000,90067.847399474,90067.847399474,90067.847399474,90067.847399474,0
1765152000000,90673.1444436003,90673.1444436003,90673.1444436003,90673.1444436003,0
1765238400000,92808.8518477498,92808.8518477498,92808.8518477498,92808.8518477498,0
1765324800000,92102.9300917592,92102.9300917592,92102.9300917592,92102.9300917592,0
1765411200000,92623.7198708358,92623.7198708358,92623.7198708358,92623.7198708358,0
1765497600000,90331.6083091759,90331.6083091759,90331.6083091759,90331.6083091759,0
1765584000000,90245.267264173,90245.267264173,90245.267264173,90245.267264173,0
1765670400000,88096.3826142607,88096.3826142607,88096.3826142607,88096.3826142607,0
1765756800000,86352.5802565751,86352.5802565751,86352.5802565751,86352.5802565751,0
1765843200000,87752.4290336061,87752.4290336061,87752.4290336061,87752.4290336061,0
1765929600000,86059.5522241379,86059.5522241379,86059.5522241379,86059.5522241379,0
1766016000000,85434.1928673291,85434.1928673291,85434.1928673291,85434.1928673291,0
1766102400000,88168.0738325541,88168.0738325541,88168.0738325541,88168.0738325541,0
1766188800000,88292.4536373466,88292.4536373466,88292.4536373466,88292.4536373466,0
1766275200000,88533.4309830508,88533.4309830508,88533.4309830508,88533.4309830508,0
1766361600000,88474.4622331969,88474.4622331969,88474.4622331969,88474.4622331969,0
1766448000000,87365.9937872589,87365.9937872589,87365.9937872589,87365.9937872589,0
1766534400000,87625.6707895967,87625.6707895967,87625.6707895967,87625.6707895967,0
1766620800000,87231.3047685564,87231.3047685564,87231.3047685564,87231.3047685564,0
1766707200000,87334.8077808299,87334.8077808299,87334.8077808299,87334.8077808299,0
1766793600000,87695.4159076564,87695.4159076564,87695.4159076564,87695.4159076564,0
1766880000000,87747.6491548802,87747.6491548802,87747.6491548802,87747.6491548802,0
1766966400000,87133.5103991818,87133.5103991818,87133.5103991818,87133.5103991818,0
1767052800000,88428.4922735243,88428.4922735243,88428.4922735243,88428.4922735243,0
1767139200000,87516.9780376972,87516.9780376972,87516.9780376972,87516.9780376972,0
1767225600000,88684.2178474576,88684.2178474576,88684.2178474576,88684.2178474576,0
1767312000000,89940.1801671537,89940.1801671537,89940.1801671537,89940.1801671537,0
1767398400000,90598.1301832262,90598.1301832262,90598.1301832262,90598.1301832262,0
1767484800000,91359.7636823495,91359.7636823495,91359.7636823495,91359.7636823495,0
1767571200000,93948.5821794272,93948.5821794272,93948.5821794272,93948.5821794272,0
1767657600000,93574.2871122151,93574.2871122151,93574.2871122151,93574.2871122151,0
1767744000000,91208.9562606663,91208.9562606663,91208.9562606663,91208.9562606663,0
1767830400000,91096.9161554647,91096.9161554647,91096.9161554647,91096.9161554647,0
1767916800000,90539.6032288136,90539.6032288136,90539.6032288136,90539.6032288136,0
1768003200000,90406.1424114553,90406.1424114553,90406.1424114553,90406.1424114553,0
1768089600000,90717.2063153127,90717.2063153127,90717.2063153127,90717.2063153127,0
1768176000000,91141.1498489188,91141.1498489188,91141.1498489188,91141.1498489188,0
1768262400000,95304.4982942724,95304.4982942724,95304.4982942724,95304.4982942724,0
1768348800000,97043.9927258913,97043.9927258913,97043.9927258913,97043.9927258913,0
1768435200000,95546.1397381648,95546.1397381648,95546.1397381648,95546.1397381648,0
1768521600000,95489.1299602572,95489.1299602572,95489.1299602572,95489.1299602572,0
1768608000000,95106.980462595,95106.980462595,95106.980462595,95106.980462595,0
1768694400000,94261.3294313267,94261.3294313267,94261.3294313267,94261.3294313267,0
1768780800000,92526.2419643483,92526.2419643483,92526.2419643483,92526.2419643483,0
1768867200000,88236.5631922852,88236.5631922852,88236.5631922852,88236.5631922852,0
1768953600000,89599.361874927,89599.361874927,89599.361874927,89599.361874927,0
1769040000000,89395.700735827,89395.700735827,89395.700735827,89395.700735827,0
1769126400000,89439.7718909994,89439.7718909994,89439.7718909994,89439.7718909994,0
1769212800000,89185.0386990064,89185.0386990064,89185.0386990064,89185.0386990064,0
1769299200000,86445.6705926359,86445.6705926359,86445.6705926359,86445.6705926359,0
1769385600000,88337.4545511397,88337.4545511397,88337.4545511397,88337.4545511397,0
1769472000000,89260.3805397429,89260.3805397429,89260.3805397429,89260.3805397429,0
1769558400000,89177.7892507306,89177.7892507306,89177.7892507306,89177.7892507306,0
1769644800000,84520.3973106371,84520.3973106371,84520.3973106371,84520.3973106371,0
1769731200000,84017.0340292227,84017.0340292227,84017.0340292227,84017.0340292227,0
1769817600000,78702.38550263,78702.38550263,78702.38550263,78702.38550263,0
1769904000000,76911.0523772648,76911.0523772648,76911.0523772648,76911.0523772648,0
1769990400000,78716.6018088837,78716.6018088837,78716.6018088837,78716.6018088837,0
1770076800000,75684.7660277616,75684.7660277616,75684.7660277616,75684.7660277616,0
1770163200000,73095.1914646406,73095.1914646406,73095.1914646406,73095.1914646406,0
1770249600000,63494.6884456458,63494.6884456458,63494.6884456458,63494.6884456458,0
1770336000000,70647.6982188778,70647.6982188778,70647.6982188778,70647.6982188778,0
1770422400000,69166.2594424313,69166.2594424313,69166.2594424313,69166.2594424313,0
1770508800000,70522.5892393337,70522.5892393337,70522.5892393337,70522.5892393337,0
1770595200000,70244.1017773232,70244.1017773232,70244.1017773232,70244.1017773232,0
1770681600000,68688.793113384,68688.793113384,68688.793113384,68688.793113384,0
1770768000000,66989.7165920514,66989.7165920514,66989.7165920514,66989.7165920514,0
1770854400000,66221.5443115137,66221.5443115137,66221.5443115137,66221.5443115137,0
1770940800000,68860.8411633548,68860.8411633548,68860.8411633548,68860.8411633548,0
1771027200000,69798.0791253653,69798.0791253653,69798.0791253653,69798.0791253653,0
1771113600000,68629.9599760374,68629.9599760374,68629.9599760374,68629.9599760374,0
1771200000000,68747.4380286383,68747.4380286383,68747.4380286383,68747.4380286383,0
1771286400000,67471.0508465809,67471.0508465809,67471.0508465809,67471.0508465809,0
1771372800000,66380.7069611339,66380.7069611339,66380.7069611339,66380.7069611339,0
1771459200000,66932.3522118644,66932.3522118644,66932.3522118644,66932.3522118644,0
1771545600000,67977.3092612507,67977.3092612507,67977.3092612507,67977.3092612507,0
1771632000000,68020.6677612507,68020.6677612507,68020.6677612507,68020.6677612507,0
1771718400000,67550.0240768556,67550.0240768556,67550.0240768556,67550.0240768556,0
1771804800000,64689.9123308007,64689.9123308007,64689.9123308007,64689.9123308007,0
1771891200000,64123.7510780245,64123.7510780245,64123.7510780245,64123.7510780245,0
1771977600000,68038.5221794272,68038.5221794272,68038.5221794272,68038.5221794272,0
1772064000000,67519.2645292227,67519.2645292227,67519.2645292227,67519.2645292227,0
1772150400000,65864.1358170661,65864.1358170661,65864.1358170661,65864.1358170661,0
1772236800000,66965.6353091759,66965.6353091759,66965.6353091759,66965.6353091759,0
1772323200000,65733.5212597896,65733.5212597896,65733.5212597896,65733.5212597896,0
1772409600000,68922.6242974869,68922.6242974869,68922.6242974869,68922.6242974869,0
1772496000000,68431.1740306838,68431.1740306838,68431.1740306838,68431.1740306838,0
1772582400000,72667.4630575687,72667.4630575687,72667.4630575687,72667.4630575687,0
1772668800000,70987.427176505,70987.427176505,70987.427176505,70987.427176505,0
1772755200000,68226.7053927528,68226.7053927528,68226.7053927528,68226.7053927528,0
1772841600000,67315.5529135009,67315.5529135009,67315.5529135009,67315.5529135009,0
1772928000000,66202.6978731736,66202.6978731736,66202.6978731736,66202.6978731736,0
1773014400000,68528.5384699007,68528.5384699007,68528.5384699007,68528.5384699007,0
1773100800000,69891.8238576856,69891.8238576856,69891.8238576856,69891.8238576856,0
1773187200000,70298.5753530099,70298.5753530099,70298.5753530099,70298.5753530099,0
1773273600000,70538.1074623027,70538.1074623027,70538.1074623027,70538.1074623027,0
1773360000000,70930.0132793688,70930.0132793688,70930.0132793688,70930.0132793688,0
1773446400000,71136.2179199299,71136.2179199299,71136.2179199299,71136.2179199299,0
1773532800000,72712.1461957919,72712.1461957919,72712.1461957919,72712.1461957919,0
1773619200000,74723.9575534775,74723.9575534775,74723.9575534775,74723.9575534775,0
1773705600000,74086.013609585,74086.013609585,74086.013609585,74086.013609585,0
1773792000000,71253.9579275278,71253.9579275278,71253.9579275278,71253.9579275278,0
1773878400000,69948.9048267095,69948.9048267095,69948.9048267095,69948.9048267095,0
1773964800000,70510.4196797194,70510.4196797194,70510.4196797194,70510.4196797194,0
1774051200000,69707.285009059,69707.285009059,69707.285009059,69707.285009059,0
1774137600000,68018.1534815897,68018.1534815897,68018.1534815897,68018.1534815897,0
1774224000000,70726.2110461718,70726.2110461718,70726.2110461718,70726.2110461718,0
1774310400000,70610.0187121566,70610.0187121566,70610.0187121566,70610.0187121566,0
1774396800000,71281.2973921683,71281.2973921683,71281.2973921683,71281.2973921683,0
1774483200000,68722.9718366452,68722.9718366452,68722.9718366452,68722.9718366452,0
1774569600000,66214.1715134424,66214.1715134424,66214.1715134424,66214.1715134424,0
1774656000000,66351.0725251315,66351.0725251315,66351.0725251315,66351.0725251315,0
1774742400000,65966.7523939217,65966.7523939217,65966.7523939217,65966.7523939217,0
1774828800000,66651.2320037989,66651.2320037989,66651.2320037989,66651.2320037989,0
1774915200000,68214.8680388662,68214.8680388662,68214.8680388662,68214.8680388662,0
1775001600000,68116.8167933957,68116.8167933957,68116.8167933957,68116.8167933957,0
1775088000000,66908.3179918177,66908.3179918177,66908.3179918177,66908.3179918177,0
1775174400000,66891.7422279369,66891.7422279369,66891.7422279369,66891.7422279369,0
1775260800000,67295.1309137931,67295.1309137931,67295.1309137931,67295.1309137931,0
1775347200000,68921.8060911748,68921.8060911748,68921.8060911748,68921.8060911748,0
1775433600000,68742.9133085915,68742.9133085915,68742.9133085915,68742.9133085915,0
1775520000000,72057.1243614845,72057.1243614845,72057.1243614845,72057.1243614845,0
1775606400000,71085.0583702513,71085.0583702513,71085.0583702513,71085.0583702513,0
1775692800000,71788.6797825833,71788.6797825833,71788.6797825833,71788.6797825833,0
1775779200000,72945.0707241379,72945.0707241379,72945.0707241379,72945.0707241379,0
1775865600000,73119.1091168907,73119.1091168907,73119.1091168907,73119.1091168907,0
1775952000000,70685.3697019287,70685.3697019287,70685.3697019287,70685.3697019287,0
1776038400000,74632.7455856224,74632.7455856224,74632.7455856224,74632.7455856224,0
1776124800000,74173.5083603156,74173.5083603156,74173.5083603156,74173.5083603156,0
1776211200000,74761.964654588,74761.964654588,74761.964654588,74761.964654588,0
1776297600000,75095.7442159556,75095.7442159556,75095.7442159556,75095.7442159556,0
1776384000000,77114.481438048,77114.481438048,77114.481438048,77114.481438048,0
1776470400000,75792.0637510228,75792.0637510228,75792.0637510228,75792.0637510228,0
